id,floor_id,seat_type_id,code,name,status,is_active,deleted_at,created_at
07f04a8a-ed59-449d-9da0-74e05d1bf67a,d8ba2839-e71e-400a-8e32-91717ef03e1d,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S01,Seat 1,available,t,,2026-03-20 14:51:26.918+07
6517d2ef-c57d-443d-98fb-5b0fa2dc6ac9,d8ba2839-e71e-400a-8e32-91717ef03e1d,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S02,Seat 2,available,t,,2026-03-20 14:51:26.918+07
ec8d31a2-e7aa-456d-a8a5-3b02d14f7b26,d8ba2839-e71e-400a-8e32-91717ef03e1d,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S03,Seat 3,available,t,,2026-03-20 14:51:26.918+07
922ec48d-e019-4f06-9000-196c786acc58,d8ba2839-e71e-400a-8e32-91717ef03e1d,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S04,Seat 4,available,t,,2026-03-20 14:51:26.918+07
faa60bc5-bd11-4e51-a647-ced8608f0251,aac949df-cb76-4fc9-90fd-d6620cf227b0,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S01,Seat 1,available,t,,2026-03-20 14:51:26.922+07
e6f71548-d0ac-43b8-9c8d-3e6c869856cb,aac949df-cb76-4fc9-90fd-d6620cf227b0,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S02,Seat 2,available,t,,2026-03-20 14:51:26.922+07
d6cdbc6b-4d95-43e6-80e6-64f3c2816aa3,aac949df-cb76-4fc9-90fd-d6620cf227b0,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S03,Seat 3,available,t,,2026-03-20 14:51:26.922+07
cef8d61e-2780-4c2f-85c7-3b8619e7eb03,aac949df-cb76-4fc9-90fd-d6620cf227b0,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S04,Seat 4,available,t,,2026-03-20 14:51:26.922+07
f076431c-66ef-4975-a217-7426dc75aa58,7a051386-e0ce-4bd7-a7a2-9574b1cabfb3,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S01,Seat 1,available,t,,2026-03-20 14:51:26.926+07
e3043f56-c3e5-4042-8030-224cca88950a,7a051386-e0ce-4bd7-a7a2-9574b1cabfb3,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S02,Seat 2,available,t,,2026-03-20 14:51:26.926+07
ee9049a6-1284-47cb-a243-f0ddd0fce726,7a051386-e0ce-4bd7-a7a2-9574b1cabfb3,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S03,Seat 3,available,t,,2026-03-20 14:51:26.926+07
4532c726-afc2-4a10-87f2-a3c54775fdf2,7a051386-e0ce-4bd7-a7a2-9574b1cabfb3,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S04,Seat 4,available,t,,2026-03-20 14:51:26.926+07
aa385c7f-0531-4636-a494-a21cc035d01f,062409d4-a593-4554-877c-8cde7bfc031c,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S01,Seat 1,available,t,,2026-03-20 14:51:26.93+07
42db418b-557b-4d75-a54d-0475cb231273,062409d4-a593-4554-877c-8cde7bfc031c,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S02,Seat 2,available,t,,2026-03-20 14:51:26.93+07
939f69a7-eb2f-41f1-84e6-a21afbdc620c,062409d4-a593-4554-877c-8cde7bfc031c,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S03,Seat 3,available,t,,2026-03-20 14:51:26.93+07
1b3b960a-54c4-4449-946e-ca2e27cb443c,062409d4-a593-4554-877c-8cde7bfc031c,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S04,Seat 4,available,t,,2026-03-20 14:51:26.93+07
1bc13b8e-0bbb-4471-9d09-b2cbe2df7b31,fce3c4b5-fb85-4aa8-b10b-b38b69ee1acb,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S01,Seat 1,available,t,,2026-03-20 14:51:26.933+07
75f9d27b-26b5-4228-801f-bb906e731356,fce3c4b5-fb85-4aa8-b10b-b38b69ee1acb,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S02,Seat 2,available,t,,2026-03-20 14:51:26.933+07
f8ff1cc6-e70a-4458-be2f-77c7c38a898d,fce3c4b5-fb85-4aa8-b10b-b38b69ee1acb,9daaa1a9-daad-4a9c-9fe4-153d0ff7d03f,S03,Seat 3,available,t,,2026-03-20 14:51:26.933+07
